pl_name,pl_refname,pl_controv_flag,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,st_met,st_meterr1,st_meterr2,st_metlim,st_metratio
"L 98-59 c","<a refstr=CLOUTIER_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019A&A...629A.111C/abstract target=ref>Cloutier et al. 2019</a>",0,0.031700,0.000100,-0.000100,0,-0.500,0.500,-0.500,0,"[Fe/H]"
"WASP-100 b","<a refstr=HELLIER_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014MNRAS.440.1982H/abstract target=ref> Hellier et al. 2014 </a>",0,0.045700,0.001000,-0.001000,0,-0.030,0.100,-0.100,0,"[Fe/H]"
"L 98-59 c","<a refstr=KOSTOV_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158...32K/abstract target=ref>Kostov et al. 2019</a>",0,0.032400,0.002300,-0.002400,0,-0.500,0.500,-0.500,0,"[Fe/H]"
"L 98-59 b","<a refstr=KOSTOV_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158...32K/abstract target=ref>Kostov et al. 2019</a>",0,0.023300,0.001700,-0.001700,0,-0.500,0.500,-0.500,0,"[Fe/H]"
"TOI-733 b","<a refstr=GEORGIEVA_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230406655G/abstract target=ref>Georgieva et al. 2023</a>",0,0.061800,0.003600,-0.003900,0,-0.040,0.050,-0.050,0,"[Fe/H]"
"TOI-2109 b","<a refstr=WONG_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021AJ....162..256W/abstract target=ref>Wong et al. 2021</a>",0,0.017910,0.000650,-0.000650,0,0.068,0.070,-0.062,0,"[Fe/H]"
"L 98-59 b","<a refstr=DEMANGEON_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021A&A...653A..41D/abstract target=ref>Demangeon et al. 2021</a>",0,0.021910,0.000800,-0.000840,0,-0.460,0.260,-0.260,0,"[Fe/H]"
"TOI-712 b","<a refstr=VACH_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022AJ....164...71V/abstract target=ref>Vach et al. 2022</a>",0,0.079280,0.000960,-0.000910,0,-0.020,0.120,-0.043,0,"[Fe/H]"
"TOI-3629 b","<a refstr=CA_NTILDE_AS_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv220109963C/abstract target=ref>Ca&ntilde;as et al. 2022</a>",0,0.043000,0.002000,-0.002000,0,0.400,0.100,-0.100,0,"[Fe/H]"
"L 98-59 b","<a refstr=CLOUTIER_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019A&A...629A.111C/abstract target=ref>Cloutier et al. 2019</a>",0,0.022820,0.000080,-0.000080,0,-0.500,0.500,-0.500,0,"[Fe/H]"
"HD 28109 d","<a refstr=DRANSFIELD_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022MNRAS.tmp.1364D/abstract target=ref>Dransfield et al. 2022</a>",0,0.411000,0.016000,-0.016000,0,0.000,0.100,-0.100,0,"[Fe/H]"
"L 98-59 c","<a refstr=DEMANGEON_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021A&A...653A..41D/abstract target=ref>Demangeon et al. 2021</a>",0,0.030400,0.001100,-0.001200,0,-0.460,0.260,-0.260,0,"[Fe/H]"
"L 98-59 d","<a refstr=CLOUTIER_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019A&A...629A.111C/abstract target=ref>Cloutier et al. 2019</a>",0,0.050600,0.000200,-0.000200,0,-0.500,0.500,-0.500,0,"[Fe/H]"
"WASP-136 b","<a refstr=LAM_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017A&A...599A...3L/abstract target=ref>Lam et al. 2017</a>",0,0.066100,0.001200,-0.001200,0,-0.180,0.100,-0.100,0,"[Fe/H]"
"WASP-41 b","<a refstr=NEVEU_VANMALLE_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015arXiv150907750N/abstract target=ref>Neveu-VanMalle et al. 2015</a>",0,0.040000,0.001000,-0.001000,0,0.060,0.020,-0.020,0,"[Fe/H]"
"WASP-83 b","<a refstr=HELLIER_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015AJ....150...18H/abstract target=ref>Hellier et al. 2015</a>",0,0.059000,0.001000,-0.001000,0,0.290,0.120,-0.120,0,"[Fe/H]"
"HAT-P-51 b","<a refstr=HARTMAN_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015AJ....150..168H/abstract target=ref>Hartman et al. 2015</a>",0,0.050690,0.000490,-0.000490,0,0.270,0.080,-0.080,0,"[Fe/H]"
"WASP-93 b","<a refstr=HAY_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016MNRAS.463.3276H/abstract target=ref>Hay et al. 2016</a>",0,0.042110,0.000350,-0.000350,0,0.070,0.170,-0.170,0,"[Fe/H]"
"psi1 Dra B b","<a refstr=ENDL_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...818...34E/abstract target=ref>Endl et al. 2016</a>",0,4.430000,0.040000,-0.040000,0,0.010,0.060,-0.060,0,"[Fe/H]"
"HAT-P-69 b","<a refstr=ZHOU_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..141Z/abstract target=ref>Zhou et al. 2019</a>",0,0.065550,0.000700,-0.000350,0,-0.069,0.058,-0.075,0,"[Fe/H]"
"HD 191939 g","<a refstr=ORELL_MIQUEL_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv221100667O/abstract target=ref>Orell-Miquel et al. 2022</a>",0,0.812000,0.028000,-0.028000,0,-0.150,0.060,-0.060,0,"[Fe/H]"
"TOI-1759 b","<a refstr=ESPINOZA_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022AJ....163..133E/abstract target=ref>Espinoza et al. 2022</a>",0,0.117700,0.003800,-0.003800,0,0.050,0.160,-0.160,0,"[Fe/H]"
"WASP-41 b","<a refstr=SOUTHWORTH_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016MNRAS.457.4205S/abstract target=ref>Southworth et al. 2016</a>",0,0.041000,0.000500,-0.000500,0,0.060,0.050,-0.050,0,"[Fe/H]"
"WASP-174 b","<a refstr=MANCINI_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020A&A...633A..30M/abstract target=ref>Mancini et al. 2020</a>",0,0.055030,0.000560,-0.000560,0,0.060,0.060,-0.060,0,"[Fe/H]"
"WASP-174 b","<a refstr=TEMPLE_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018MNRAS.480.5307T/abstract target=ref>Temple et al. 2018</a>",0,0.055900,0.000900,-0.000900,0,0.090,0.090,-0.090,0,"[Fe/H]"
"HD 219134 h","<a refstr=VOGT_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015ApJ...814...12V/abstract target=ref>Vogt et al. 2015</a>",0,3.110000,0.040000,-0.040000,0,0.080,,,0,"[Fe/H]"
"HD 219134 d","<a refstr=GILLON_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017NatAs...1E..56G/abstract target=ref>Gillon et al. 2017</a>",0,0.237000,0.003000,-0.003000,0,0.110,0.040,-0.040,0,"[Fe/H]"
"HD 219134 c","<a refstr=VOGT_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015ApJ...814...12V/abstract target=ref>Vogt et al. 2015</a>",0,0.064816,0.000004,-0.000004,0,0.080,,,0,"[Fe/H]"
